song_family,status,new_project_policy,reason,evidence_type
如果风会替我说话,FORMAL_COMPLETED_PUBLISHED,HARD_EXCLUDE,"正式选中过并完成独立MV/发布流程","historical project/conversation"
我救自己于人间水火,FORMAL_DEEP_PROJECT,HARD_EXCLUDE,"正式选中过并完成BGM锁定/时间轴/深度制作","historical project/conversation"
有几次想你了,FORMAL_COMPLETE_MV,HARD_EXCLUDE,"正式选中过并完成完整MV流程","historical project/conversation"
做她的大地别做她的天,FORMAL_RELEASED,HARD_EXCLUDE,"正式深度制作并已有正式发布包/发布版","historical project/file"
爱让人脑袋空空,FORMAL_DEEP_PROJECT,HARD_EXCLUDE,"正式选中Primary Reference并完成Audio Timeline/Director/生成QA","current repo + historical project"
如果你也刚好抬头看树,DEEP_DIRECTOR_FIRST_FRAME,HARD_EXCLUDE,"已进入深度导演与首帧开发","historical project/conversation"
借过一下,DEEP_MV_PROJECT,HARD_EXCLUDE,"已正式采用并做30–35秒逐镜MV方案","historical project/conversation"
一个人假装不疼,DEEP_MV_PROJECT,HARD_EXCLUDE,"已作为独立歌曲MV进行多首帧/视觉设计","historical project/conversation"
晴天,PROCESS_TEST_MATERIAL,REGRESSION_ONLY,"已被用于ABCD流程测试素材；不作为新的选歌候选","historical project/conversation"
我不难过,HISTORICAL_BENCHMARK_USE,REGRESSION_ONLY,"旧Pool已标 prior_project_use=YES；保留回归用途","current repo"
若爱有尽头,PRIOR_CANDIDATE_ONLY,ELIGIBLE,"曾为候选但无正式锁歌证据","historical candidate"
杀破狼,PRIOR_CANDIDATE_ONLY,ELIGIBLE,"曾为候选但无正式锁歌证据","historical candidate"
Summer Love 爱在盛夏,PRIOR_CANDIDATE_ONLY,LANGUAGE_VERIFY_REQUIRED,"曾为候选；本轮中文歌限定下需先确认主要演唱语言","historical candidate"
向山河林响,PRIOR_CANDIDATE_ONLY,ELIGIBLE,"曾为候选但未正式占用","current repo"
